input_size,brute_force_evaluations,dynamic_programming_evaluations
1,4,1
2,7,2
3,10,3
4,13,4
5,16,5
6,19,6
7,22,7
8,25,8
9,28,9
10,31,10
11,34,11
12,37,12
13,40,13
14,43,14
15,46,15
16,49,16
17,52,17
18,55,18
19,58,19
4,19,4
6,37,6
8,61,8
10,91,10
12,127,12
14,169,14
16,217,16
18,271,18
20,331,20
22,397,22
24,469,24
26,547,26
28,631,28
30,721,30
32,817,32
34,919,34
36,1027,36
38,1141,38
9,94,9
12,193,12
15,346,15
18,565,18
21,862,21
24,1249,24
27,1738,27
30,2341,30
33,3070,33
36,3937,36
39,4954,39
42,6133,42
45,7486,45
48,9025,48
51,10762,51
54,12709,54
57,14878,57
16,481,16
20,1021,20
24,1933,24
28,3361,28
32,5473,32
36,8461,36
40,12541,40
44,17953,44
48,24961,48
52,33853,52
56,44941,56
60,58561,60
64,75073,64
68,94861,68
72,118333,72
76,145921,76
25,2524,25
30,5479,30
35,10774,35
40,19609,40
45,33544,45
50,54547,50
55,85042,55
60,127957,60
65,186772,65
70,265567,70
75,369070,75
80,502705,80
85,672640,85
90,885835,90
95,1150090,95
36,13483,36
42,29737,42
48,60121,48
54,113275,54
60,201367,60
66,340957,66
72,553957,72
78,868687,78
84,1321027,84
90,1955665,90
96,2827441,96
102,4002787,102
108,5561263,108
114,7597189,114
49,72958,49
56,162817,56
63,336214,63
70,650857,70
77,1193182,77
84,2088097,84
91,3510742,91
98,5700457,98
105,8977150,105
112,13760257,112
119,20590486,119
126,30154537,126
133,43312990,133
64,398593,64
72,897625,72
80,1884697,80
88,3728737,88
96,7010017,96
104,12608857,104
112,21820057,112
120,36497665,120
128,59235073,128
136,93585817,136
144,144330841,144
152,217798369,152
81,2193844,81
90,4976167,90
99,10589602,99
108,21328357,108
117,40947232,117
126,75376147,126
135,133693870,135
144,229426609,144
153,382247500,153
162,620164159,162
171,982293370,171
100,12146179,100
110,27711949,110
120,59629909,120
130,121905499,130
140,238228879,140
150,447298897,150
160,810419377,160
170,1422093487,170
