nodes_count,tree_height,greedy_executions,divide_and_conquer_executions
101,10,7,101
101,8,6,101
101,9,3,101
103,9,6,103
105,9,5,105
105,9,7,105
107,9,5,107
107,9,5,107
109,9,4,109
109,9,8,109
11,4,3,11
11,4,3,11
11,4,3,11
11,4,3,11
11,4,3,11
11,4,4,11
11,4,4,11
11,4,4,11
11,4,4,11
11,5,2,11
11,5,2,11
11,5,3,11
11,6,4,11
111,9,3,111
111,9,6,111
115,8,7,115
115,9,8,115
119,9,5,119
121,9,7,121
121,9,7,121
123,8,6,123
123,9,5,123
125,9,8,125
127,9,3,127
127,9,6,127
13,4,3,13
13,4,4,13
13,4,4,13
13,4,4,13
13,4,4,13
13,4,4,13
13,4,4,13
13,5,2,13
13,5,2,13
13,5,4,13
13,5,5,13
131,9,7,131
133,9,6,133
133,9,7,133
137,10,4,137
137,9,7,137
141,9,6,141
145,10,7,145
145,10,8,145
147,9,6,147
149,9,7,149
149,9,7,149
149,9,8,149
15,4,4,15
15,4,4,15
15,5,3,15
15,6,2,15
15,6,3,15
15,6,3,15
15,6,3,15
17,5,3,17
17,5,4,17
17,5,4,17
17,5,5,17
17,5,5,17
17,6,5,17
19,5,4,19
19,5,4,19
19,5,5,19
19,5,5,19
19,5,5,19
19,5,5,19
21,5,3,21
21,5,4,21
21,6,2,21
21,6,3,21
21,6,3,21
21,6,3,21
21,7,6,21
23,7,4,23
25,6,3,25
27,6,4,27
27,6,4,27
27,6,5,27
27,6,5,27
27,6,5,27
27,8,2,27
29,7,4,29
3,2,2,3
31,6,4,31
31,6,5,31
31,6,6,31
31,7,4,31
33,8,3,33
33,8,5,33
33,8,5,33
33,9,9,33
35,6,5,35
35,7,6,35
35,8,2,35
37,7,5,37
37,8,2,37
37,9,2,37
37,9,3,37
39,6,6,39
39,7,3,39
39,7,4,39
39,7,4,39
39,7,5,39
39,7,7,39
39,9,7,39
41,7,7,41
41,9,3,41
41,9,8,41
43,6,6,43
43,8,6,43
